Time Flow_BTPS O2 CO2 N2 MMss SampleFlow MMms DelayO2 DelayMMss
0 0.00245861 16.04855 5.47468 77.54916 29.36005 -0.00345976 29.39605 0.58665 0.66831
5 0.00990495 16.06552 5.46751 77.53948 29.36014 -0.00346076 29.39581 0.58668 0.66816
10 0.01766872 16.08415 5.45918 77.52930 29.36029 -0.00346230 29.39558 0.58672 0.66805
15 0.02579818 16.10680 5.44862 77.51736 29.36045 -0.00346412 29.39536 0.58663 0.66816
20 0.03424923 16.13104 5.43630 77.50558 29.36052 -0.00346575 29.39510 0.58657 0.66826
25 0.04303161 16.15722 5.42073 77.49509 29.36063 -0.00346694 29.39482 0.58647 0.66833
30 0.05213419 16.18562 5.40264 77.48491 29.36056 -0.00346813 29.39449 0.58635 0.66841
35 0.06154576 16.21647 5.37995 77.47685 29.36032 -0.00346954 29.39416 0.58626 0.66816
40 0.07127460 16.25292 5.35377 77.46670 29.35972 -0.00347089 29.39383 0.58620 0.66790
45 0.08131760 16.29194 5.32173 77.45979 29.35881 -0.00347191 29.39348 0.58611 0.66778
50 0.09167004 16.33393 5.28499 77.45461 29.35734 -0.00347305 29.39311 0.58599 0.66769
55 0.10231724 16.37918 5.24287 77.45151 29.35531 -0.00347405 29.39272 0.58592 0.66783
60 0.11328646 16.43091 5.19315 77.44953 29.35251 -0.00347488 29.39226 0.58607 0.66782
65 0.12457506 16.48611 5.13675 77.45071 29.34873 -0.00347552 29.39173 0.58607 0.66782
70 0.13620331 16.54518 5.07271 77.45562 29.34395 -0.00347572 29.39112 0.58607 0.66782
75 0.14815182 16.61234 5.00079 77.46032 29.33786 -0.00347569 29.39043 0.58643 0.66782
80 0.16041389 16.68367 4.92014 77.46954 29.33047 -0.00347566 29.38963 0.58678 0.66760
85 0.17299567 16.75970 4.83066 77.48284 29.32149 -0.00347563 29.38868 0.58674 0.66760
90 0.18590591 16.84099 4.73189 77.50011 29.31077 -0.00347512 29.38761 0.58665 0.66734
95 0.19912276 16.92967 4.62382 77.51926 29.29829 -0.00347440 29.38635 0.58650 0.66720
100 0.21264479 17.02372 4.50640 77.54235 29.28385 -0.00347373 29.38490 0.58654 0.66706
105 0.22644714 17.12340 4.37957 77.56919 29.26743 -0.00347289 29.38323 0.58663 0.66696
110 0.24054230 17.22877 4.24373 77.59930 29.24902 -0.00347166 29.38132 0.58675 0.66689
115 0.25494807 17.33978 4.09926 77.63235 29.22854 -0.00347031 29.37918 0.58684 0.66680
120 0.26967902 17.45793 3.94672 77.66635 29.20607 -0.00346886 29.37679 0.58654 0.66651
125 0.28472632 17.58111 3.78676 77.70269 29.18165 -0.00346734 29.37411 0.58627 0.66623
130 0.30005719 17.70907 3.62021 77.74082 29.15543 -0.00346579 29.37113 0.58620 0.66616
135 0.31564569 17.84122 3.44799 77.78042 29.12755 -0.00346397 29.36785 0.58610 0.66606
140 0.33147061 17.97819 3.27113 77.81984 29.09824 -0.00346241 29.36427 0.58613 0.66592
145 0.34749515 18.11835 3.09076 77.85957 29.06771 -0.00346088 29.36041 0.58600 0.66579
150 0.36369763 18.26073 2.90805 77.89943 29.03625 -0.00345992 29.35629 0.58592 0.66571
155 0.38007513 18.40576 2.72425 77.93774 29.00414 -0.00345832 29.35192 0.58590 0.66568
