Breath Number	Tracer Cet [%]	LCI	FRC [l]	Tracer Initial [%]	Tracer Normalized [%]	VolumeInsp[ml]	Volume Exp [ml}	CEV [l]	CEV-DS [l]	Tracer Exp [ml]	Tracer Netto [ml]	Tracer CEV [ml]	Tracer Reinsp [ml]	Flow Insp Mean [ml/s]	Flow Exp Mean [ml/s]	
1	71.671	0.108154	4.19761	77.7983	92.1241	499.99	499.99	0.49999	0.45399	258.671	258.671	258.671	0	312.501	312.501	
2	65.7917	0.221046	4.10765	77.7983	84.567	499.99	499.99	0.99998	0.90798	237.399	237.399	496.07	0	312.501	312.501	
3	60.3953	0.333923	4.07869	77.7983	77.6307	499.99	499.99	1.49997	1.36197	217.919	217.919	713.989	0	312.501	312.501	
4	55.4417	0.44681	4.06442	77.7983	71.2634	499.945	500.053	2.00002	1.81602	200.043	200.043	914.032	0	312.501	312.501	
5	50.8943	0.55968	4.05591	77.7983	65.4183	499.99	499.99	2.50001	2.27001	183.624	183.624	1097.66	0	312.501	312.501	
6	46.72	0.672548	4.05027	77.7983	60.0528	499.99	499.99	3	2.724	168.557	168.557	1266.21	0	312.501	312.501	
7	42.8881	0.785412	4.04627	77.7983	55.1273	499.99	499.99	3.49999	3.17799	154.727	154.727	1420.94	0	312.501	312.501	
8	39.3705	0.898273	4.0433	77.7983	50.6058	499.99	499.99	3.99998	3.63198	142.032	142.032	1562.97	0	312.501	312.501	
9	36.1414	1.01113	4.041	77.7983	46.4553	499.99	499.99	4.49997	4.08597	130.379	130.379	1693.35	0	312.501	312.501	
10	33.1772	1.12398	4.03917	77.7983	42.6451	499.99	499.99	4.99996	4.53996	119.682	119.682	1813.03	0	312.501	312.501	
11	30.4561	1.23683	4.03769	77.7983	39.1475	499.99	499.99	5.49995	4.99395	109.862	109.862	1922.89	0	312.501	312.501	
12	27.9582	1.34968	4.03647	77.7983	35.9367	499.99	499.99	5.99994	5.44794	100.849	100.849	2023.74	0	312.501	312.501	
13	25.6651	1.46252	4.03545	77.7983	32.9894	499.99	499.99	6.49993	5.90193	92.5748	92.5748	2116.32	0	312.501	312.501	
14	23.5602	1.57536	4.03461	77.7983	30.2837	499.945	500.04	6.99997	6.35597	84.9915	84.9915	2201.31	0	312.501	312.501	
15	21.6279	1.6882	4.03387	77.7983	27.8	499.99	499.99	7.49996	6.80996	78.008	78.008	2279.32	0	312.501	312.501	
16	19.8541	1.80103	4.03323	77.7983	25.52	499.99	499.99	7.99995	7.26395	71.6083	71.6083	2350.93	0	312.501	312.501	
17	18.2258	1.91385	4.03267	77.7983	23.4269	499.99	499.99	8.49994	7.71794	65.7337	65.7337	2416.66	0	312.501	312.501	
18	16.731	2.02668	4.03218	77.7983	21.5056	499.99	499.99	8.99993	8.17193	60.341	60.341	2477	0	312.501	312.501	
19	15.3588	2.1395	4.03176	77.7983	19.7418	499.99	499.99	9.49992	8.62592	55.3908	55.3908	2532.39	0	312.501	312.501	
20	14.0992	2.25231	4.03138	77.7983	18.1227	499.99	499.99	9.99991	9.07991	50.8468	50.8468	2583.24	0	312.501	312.501	
21	12.9428	2.36512	4.03104	77.7983	16.6364	499.99	499.99	10.4999	9.5339	46.6756	46.6756	2629.91	0	312.501	312.501	
22	11.8814	2.47793	4.03074	77.7983	15.272	499.99	499.99	10.9999	9.98789	42.8466	42.8466	2672.76	0	312.501	312.501	
23	10.9069	2.59073	4.03047	77.7983	14.0195	499.99	499.99	11.4999	10.4419	39.3317	39.3317	2712.09	0	312.501	312.501	
24	10.0124	2.70353	4.03024	77.7983	12.8697	499.99	499.99	11.9999	10.8959	36.1053	36.1053	2748.2	0	312.501	312.501	
25	9.19127	2.81633	4.03002	77.7983	11.8142	499.99	499.99	12.4999	11.3499	33.1435	33.1435	2781.34	0	312.501	312.501	
26	8.43747	2.92912	4.02983	77.7983	10.8453	499.99	499.99	12.9998	11.8038	30.4247	30.4247	2811.77	0	312.501	312.501	
27	7.74549	3.04191	4.02965	77.7983	9.95587	499.99	499.99	13.4998	12.2578	27.9289	27.9289	2839.69	0	312.501	312.501	
28	7.11027	3.1547	4.02949	77.7983	9.13936	499.99	499.99	13.9998	12.7118	25.6379	25.6379	2865.33	0	312.501	312.501	
29	6.52714	3.26748	4.02935	77.7983	8.38983	499.99	499.99	14.4998	13.1658	23.5349	23.5349	2888.87	0	312.501	312.501	
30	5.99183	3.38026	4.02922	77.7983	7.70176	499.99	499.99	14.9998	13.6198	21.6043	21.6043	2910.47	0	312.501	312.501	
31	5.50043	3.49304	4.0291	77.7983	7.07013	499.99	499.99	15.4998	14.0738	19.8322	19.8322	2930.3	0	312.501	312.501	
32	5.04933	3.60581	4.02899	77.7983	6.49029	499.99	499.99	15.9998	14.5278	18.2054	18.2054	2948.51	0	312.501	312.501	
33	4.63523	3.71858	4.0289	77.7983	5.95801	499.99	499.99	16.4998	14.9818	16.7121	16.7121	2965.22	0	312.501	312.501	
34	4.2551	3.83135	4.02881	77.7983	5.4694	499.945	499.992	16.9998	15.4358	15.3413	15.3413	2980.56	0	312.501	312.501	
35	3.90613	3.94412	4.02873	77.7983	5.02084	500.053	499.99	17.4998	15.8898	14.0829	14.0829	2994.65	0	312.501	312.501	
36	3.58578	4.05688	4.02865	77.7983	4.60908	499.99	499.99	17.9998	16.3438	12.9277	12.9277	3007.57	0	312.501	312.501	
37	3.29171	4.16964	4.02858	77.7983	4.23108	499.99	499.99	18.4997	16.7977	11.8673	11.8673	3019.44	0	312.501	312.501	
38	3.02175	4.2824	4.02852	77.7983	3.88408	499.99	499.99	18.9997	17.2517	10.8939	10.8939	3030.33	0	312.501	312.501	
39	2.77394	4.39515	4.02847	77.7983	3.56555	499.99	499.99	19.4997	17.7057	10.0004	10.0004	3040.33	0	312.501	312.501	
40	2.54644	4.50791	4.02841	77.7983	3.27314	499.99	499.99	19.9997	18.1597	9.18009	9.18009	3049.51	0	312.501	312.501	
41	2.33761	4.62066	4.02837	77.7983	3.00471	499.99	499.99	20.4997	18.6137	8.42712	8.42712	3057.94	0	312.501	312.501	
42	2.1459	4.73341	4.02832	77.7983	2.75829	499.99	499.99	20.9997	19.0677	7.73591	7.73591	3065.68	0	312.501	312.501	
43	1.96992	4.84615	4.02828	77.7983	2.53208	499.99	499.99	21.4997	19.5217	7.1014	7.1014	3072.78	0	312.501	312.501	
44	1.80836	4.9589	4.02825	77.7983	2.32443	499.99	499.99	21.9997	19.9757	6.51893	6.51893	3079.3	0	312.501	312.501	
45	1.66006	5.07164	4.02821	77.7983	2.1338	499.99	499.99	22.4997	20.4297	5.98425	5.98425	3085.28	0	312.501	312.501	
46	1.52392	5.18438	4.02818	77.7983	1.95881	499.99	499.99	22.9996	20.8836	5.49342	5.49342	3090.78	0	312.501	312.501	
47	1.39894	5.29712	4.02815	77.7983	1.79817	499.99	499.99	23.4996	21.3376	5.04285	5.04285	3095.82	0	312.501	312.501	
48	1.28422	5.40986	4.02813	77.7983	1.6507	499.99	499.99	23.9996	21.7916	4.62924	4.62924	3100.45	0	312.501	312.501	
49	1.1789	5.5226	4.02811	77.7983	1.51533	499.99	499.99	24.4996	22.2456	4.24955	4.24955	3104.7	0	312.501	312.501	
