Breath Number	Tracer Cet [%]	LCI	FRC [l]	Tracer Initial [%]	Tracer Normalized [%]	VolumeInsp[ml]	Volume Exp [ml}	CEV [l]	CEV-DS [l]	Tracer Exp [ml]	Tracer Netto [ml]	Tracer CEV [ml]	Tracer Reinsp [ml]	Flow Insp Mean [ml/s]	Flow Exp Mean [ml/s]	
1	67.7135	0.18534	6.744	77.7983	87.0373	1249.93	1249.93	1.24993	1.24993	680.114	680.114	680.114	0	783.693	783.693	
2	58.7132	0.375733	6.65329	77.7983	75.4685	1249.93	1249.93	2.49986	2.49986	589.673	589.673	1269.79	0	783.693	783.693	
3	50.9188	0.565867	6.62663	77.7983	65.4498	1249.93	1249.93	3.74979	3.74979	511.414	511.414	1781.2	0	783.693	783.693	
4	44.1674	0.755773	6.61556	77.7983	56.7718	1249.82	1250.07	4.99986	4.99986	443.667	443.667	2224.87	0	783.693	783.693	
5	38.3183	0.945459	6.61033	77.7983	49.2534	1249.93	1249.93	6.24979	6.24979	384.89	384.89	2609.76	0	783.693	783.693	
6	33.2497	1.13495	6.60795	77.7983	42.7383	1249.93	1249.93	7.49972	7.49972	333.992	333.992	2943.75	0	783.693	783.693	
7	28.8566	1.32428	6.60711	77.7983	37.0916	1249.93	1249.93	8.74965	8.74965	289.876	289.876	3233.63	0	783.693	783.693	
8	25.0484	1.51345	6.60713	77.7983	32.1966	1249.93	1249.93	9.99958	9.99958	251.63	251.63	3485.26	0	783.693	783.693	
9	21.7464	1.70249	6.60767	77.7983	27.9523	1249.93	1249.93	11.2495	11.2495	218.467	218.467	3703.72	0	783.693	783.693	
10	18.8828	1.89142	6.60851	77.7983	24.2715	1249.93	1249.93	12.4994	12.4994	189.707	189.707	3893.43	0	783.693	783.693	
11	16.3991	2.08024	6.60952	77.7983	21.079	1249.93	1249.93	13.7494	13.7494	164.759	164.759	4058.19	0	783.693	783.693	
12	14.2443	2.26897	6.61061	77.7983	18.3093	1249.93	1249.93	14.9993	14.9993	143.116	143.116	4201.31	0	783.693	783.693	
13	12.3746	2.45763	6.61174	77.7983	15.906	1249.93	1249.93	16.2492	16.2492	124.335	124.335	4325.64	0	783.693	783.693	
14	10.752	2.64624	6.61288	77.7983	13.8204	1249.82	1250.06	17.4993	17.4993	108.049	108.049	4433.69	0	783.693	783.693	
15	9.34359	2.83479	6.61398	77.7983	12.01	1249.93	1249.93	18.7492	18.7492	93.8865	93.8865	4527.58	0	783.693	783.693	
16	8.12089	3.02329	6.61503	77.7983	10.4384	1249.93	1249.93	19.9991	19.9991	81.603	81.603	4609.18	0	783.693	783.693	
17	7.05923	3.21176	6.61603	77.7983	9.07376	1249.93	1249.93	21.2491	21.2491	70.9369	70.9369	4680.12	0	783.693	783.693	
18	6.13725	3.4002	6.61697	77.7983	7.88867	1249.93	1249.93	22.499	22.499	61.6739	61.6739	4741.79	0	783.693	783.693	
19	5.33644	3.58862	6.61785	77.7983	6.85933	1249.93	1249.93	23.7489	23.7489	53.628	53.628	4795.42	0	783.693	783.693	
20	4.64077	3.77702	6.61867	77.7983	5.96513	1249.93	1249.93	24.9989	24.9989	46.6382	46.6382	4842.06	0	783.693	783.693	
21	4.03634	3.96541	6.61943	77.7983	5.18822	1249.93	1249.93	26.2488	26.2488	40.5649	40.5649	4882.62	0	783.693	783.693	
22	3.51111	4.1538	6.62013	77.7983	4.5131	1249.93	1249.93	27.4987	27.4987	35.2872	35.2872	4917.91	0	783.693	783.693	
23	3.05463	4.34219	6.62078	77.7983	3.92635	1249.93	1249.93	28.7487	28.7487	30.7002	30.7002	4948.61	0	783.693	783.693	
24	2.65784	4.53057	6.62136	77.7983	3.41632	1249.93	1249.93	29.9986	29.9986	26.7129	26.7129	4975.32	0	783.693	783.693	
25	2.31289	4.71896	6.6219	77.7983	2.97293	1249.93	1249.93	31.2485	31.2485	23.2464	23.2464	4998.57	0	783.693	783.693	
26	2.01295	4.90736	6.62239	77.7983	2.5874	1249.93	1249.93	32.4984	32.4984	20.2323	20.2323	5018.8	0	783.693	783.693	
27	1.75213	5.09576	6.62284	77.7983	2.25215	1249.93	1249.93	33.7484	33.7484	17.6111	17.6111	5036.41	0	783.693	783.693	
28	1.52529	5.28417	6.62324	77.7983	1.96057	1249.93	1249.93	34.9983	34.9983	15.3313	15.3313	5051.74	0	783.693	783.693	
29	1.32797	5.47258	6.62361	77.7983	1.70694	1249.93	1249.93	36.2482	36.2482	13.3482	13.3482	5065.09	0	783.693	783.693	
30	1.15632	5.66101	6.62394	77.7983	1.4863	1249.93	1249.93	37.4982	37.4982	11.623	11.623	5076.71	0	783.693	783.693	
31	1.00696	5.84944	6.62423	77.7983	1.29433	1249.93	1249.93	38.7481	38.7481	10.1219	10.1219	5086.84	0	783.693	783.693	
32	0.876999	6.03789	6.6245	77.7983	1.12727	1249.93	1249.93	39.998	39.998	8.81565	8.81565	5095.65	0	783.693	783.693	
33	0.763893	6.22635	6.62474	77.7983	0.98189	1249.93	1249.93	41.2479	41.2479	7.67881	7.67881	5103.33	0	783.693	783.693	
34	0.665446	6.41481	6.62496	77.7983	0.855348	1249.82	1249.94	42.4979	42.4979	6.68932	6.68932	5110.02	0	783.693	783.693	
35	0.579747	6.60329	6.62516	77.7983	0.745193	1250.08	1249.93	43.7478	43.7478	5.8279	5.8279	5115.85	0	783.693	783.693	
36	0.505139	6.79177	6.62533	77.7983	0.649294	1249.93	1249.93	44.9977	44.9977	5.07795	5.07795	5120.92	0	783.693	783.693	
37	0.440177	6.98027	6.62549	77.7983	0.565792	1249.93	1249.93	46.2477	46.2477	4.42496	4.42496	5125.35	0	783.693	783.693	
38	0.383607	7.16877	6.62563	77.7983	0.49308	1249.93	1249.93	47.4976	47.4976	3.85633	3.85633	5129.21	0	783.693	783.693	
39	0.334342	7.35728	6.62575	77.7983	0.429755	1249.93	1249.93	48.7475	48.7475	3.3611	3.3611	5132.57	0	783.693	783.693	
40	0.291432	7.5458	6.62586	77.7983	0.374599	1249.93	1249.93	49.9975	49.9975	2.92974	2.92974	5135.5	0	783.693	783.693	
41	0.254053	7.73433	6.62596	77.7983	0.326553	1249.93	1249.93	51.2474	51.2474	2.55399	2.55399	5138.05	0	783.693	783.693	
42	0.221488	7.92287	6.62605	77.7983	0.284695	1249.93	1249.93	52.4973	52.4973	2.22664	2.22664	5140.28	0	783.693	783.693	
43	0.193116	8.11141	6.62613	77.7983	0.248226	1249.93	1249.93	53.7473	53.7473	1.94142	1.94142	5142.22	0	783.693	783.693	
44	0.168393	8.29996	6.6262	77.7983	0.216449	1249.93	1249.93	54.9972	54.9972	1.69289	1.69289	5143.91	0	783.693	783.693	
45	0.146848	8.48851	6.62626	77.7983	0.188754	1249.93	1249.93	56.2471	56.2471	1.47631	1.47631	5145.39	0	783.693	783.693	
46	0.128071	8.67707	6.62632	77.7983	0.16462	1249.93	1249.93	57.497	57.497	1.28754	1.28754	5146.68	0	783.693	783.693	
47	0.111705	8.86563	6.62637	77.7983	0.143582	1249.93	1249.93	58.747	58.747	1.12301	1.12301	5147.8	0	783.693	783.693	
48	0.0974385	9.0542	6.62641	77.7983	0.125245	1249.93	1249.93	59.9969	59.9969	0.979582	0.979582	5148.78	0	783.693	783.693	
49	0.0850011	9.24278	6.62645	77.7983	0.109258	1249.93	1249.93	61.2468	61.2468	0.854544	0.854544	5149.63	0	783.693	783.693	
