Breath Number	Tracer Cet [%]	LCI	FRC [l]	Tracer Initial [%]	Tracer Normalized [%]	VolumeInsp[ml]	Volume Exp [ml}	CEV [l]	CEV-DS [l]	Tracer Exp [ml]	Tracer Netto [ml]	Tracer CEV [ml]	Tracer Reinsp [ml]	Flow Insp Mean [ml/s]	Flow Exp Mean [ml/s]	
1	71.6722	0.118412	4.22247	77.7983	92.1258	499.99	499.99	0.49999	0.49999	258.669	258.669	258.669	0	312.501	312.501	
2	65.7929	0.242006	4.13204	77.7983	84.5686	499.99	499.99	0.99998	0.99998	237.398	237.398	496.067	0	312.501	312.501	
3	60.3965	0.365584	4.10294	77.7983	77.6322	499.99	499.99	1.49997	1.49997	217.918	217.918	713.984	0	312.501	312.501	
4	55.4427	0.489171	4.08859	77.7983	71.2647	499.945	500.052	2.00002	2.00002	200.042	200.042	914.026	0	312.501	312.501	
5	50.8953	0.612743	4.08003	77.7983	65.4196	499.99	499.99	2.50001	2.50001	183.623	183.623	1097.65	0	312.501	312.501	
6	46.7209	0.736311	4.07437	77.7983	60.0539	499.99	499.99	3	3	168.556	168.556	1266.21	0	312.501	312.501	
7	42.8889	0.859875	4.07035	77.7983	55.1284	499.99	499.99	3.49999	3.49999	154.726	154.726	1420.93	0	312.501	312.501	
8	39.3713	0.983435	4.06736	77.7983	50.6069	499.99	499.99	3.99998	3.99998	142.031	142.031	1562.96	0	312.501	312.501	
9	36.1421	1.10699	4.06504	77.7983	46.4562	499.99	499.99	4.49997	4.49997	130.378	130.378	1693.34	0	312.501	312.501	
10	33.1779	1.23054	4.06321	77.7983	42.646	499.99	499.99	4.99996	4.99996	119.681	119.681	1813.02	0	312.501	312.501	
11	30.4567	1.35409	4.06172	77.7983	39.1483	499.99	499.99	5.49995	5.49995	109.862	109.862	1922.88	0	312.501	312.501	
12	27.9588	1.47764	4.0605	77.7983	35.9375	499.99	499.99	5.99994	5.99994	100.848	100.848	2023.73	0	312.501	312.501	
13	25.6657	1.60118	4.05947	77.7983	32.9901	499.99	499.99	6.49993	6.49993	92.5743	92.5743	2116.31	0	312.501	312.501	
14	23.5607	1.72472	4.05862	77.7983	30.2844	499.945	500.041	6.99997	6.99997	84.991	84.991	2201.3	0	312.501	312.501	
15	21.6284	1.84825	4.05788	77.7983	27.8006	499.99	499.99	7.49996	7.49996	78.0076	78.0076	2279.3	0	312.501	312.501	
16	19.8545	1.97178	4.05723	77.7983	25.5205	499.99	499.99	7.99995	7.99995	71.6079	71.6079	2350.91	0	312.501	312.501	
17	18.2262	2.0953	4.05667	77.7983	23.4275	499.99	499.99	8.49994	8.49994	65.7333	65.7333	2416.64	0	312.501	312.501	
18	16.7314	2.21882	4.05618	77.7983	21.5061	499.99	499.99	8.99993	8.99993	60.3407	60.3407	2476.99	0	312.501	312.501	
19	15.3592	2.34233	4.05575	77.7983	19.7423	499.99	499.99	9.49992	9.49992	55.3905	55.3905	2532.38	0	312.501	312.501	
20	14.0995	2.46584	4.05537	77.7983	18.1232	499.99	499.99	9.99991	9.99991	50.8465	50.8465	2583.22	0	312.501	312.501	
21	12.9432	2.58935	4.05504	77.7983	16.6368	499.99	499.99	10.4999	10.4999	46.6753	46.6753	2629.9	0	312.501	312.501	
22	11.8816	2.71285	4.05473	77.7983	15.2724	499.99	499.99	10.9999	10.9999	42.8463	42.8463	2672.74	0	312.501	312.501	
23	10.9072	2.83635	4.05447	77.7983	14.0198	499.99	499.99	11.4999	11.4999	39.3315	39.3315	2712.08	0	312.501	312.501	
24	10.0127	2.95984	4.05422	77.7983	12.87	499.99	499.99	11.9999	11.9999	36.105	36.105	2748.18	0	312.501	312.501	
25	9.1915	3.08333	4.05401	77.7983	11.8145	499.99	499.99	12.4999	12.4999	33.1433	33.1433	2781.32	0	312.501	312.501	
26	8.43768	3.20682	4.05381	77.7983	10.8456	499.99	499.99	12.9998	12.9998	30.4245	30.4245	2811.75	0	312.501	312.501	
27	7.74569	3.3303	4.05364	77.7983	9.95612	499.99	499.99	13.4998	13.4998	27.9287	27.9287	2839.68	0	312.501	312.501	
28	7.11045	3.45378	4.05348	77.7983	9.1396	499.99	499.99	13.9998	13.9998	25.6378	25.6378	2865.31	0	312.501	312.501	
29	6.52731	3.57726	4.05333	77.7983	8.39004	499.99	499.99	14.4998	14.4998	23.5347	23.5347	2888.85	0	312.501	312.501	
30	5.99199	3.70073	4.0532	77.7983	7.70196	499.99	499.99	14.9998	14.9998	21.6042	21.6042	2910.45	0	312.501	312.501	
31	5.50058	3.8242	4.05308	77.7983	7.07031	499.99	499.99	15.4998	15.4998	19.832	19.832	2930.29	0	312.501	312.501	
32	5.04947	3.94766	4.05298	77.7983	6.49046	499.99	499.99	15.9998	15.9998	18.2053	18.2053	2948.49	0	312.501	312.501	
33	4.63536	4.07113	4.05288	77.7983	5.95817	499.99	499.99	16.4998	16.4998	16.712	16.712	2965.2	0	312.501	312.501	
34	4.25521	4.19459	4.05279	77.7983	5.46955	499.945	499.992	16.9998	16.9998	15.3412	15.3412	2980.54	0	312.501	312.501	
35	3.90623	4.31804	4.05271	77.7983	5.02097	500.052	499.99	17.4998	17.4998	14.0828	14.0828	2994.63	0	312.501	312.501	
36	3.58588	4.4415	4.05263	77.7983	4.6092	499.99	499.99	17.9998	17.9998	12.9276	12.9276	3007.55	0	312.501	312.501	
37	3.2918	4.56495	4.05256	77.7983	4.2312	499.99	499.99	18.4997	18.4997	11.8672	11.8672	3019.42	0	312.501	312.501	
38	3.02183	4.6884	4.0525	77.7983	3.88419	499.99	499.99	18.9997	18.9997	10.8938	10.8938	3030.32	0	312.501	312.501	
39	2.77401	4.81184	4.05244	77.7983	3.56565	499.99	499.99	19.4997	19.4997	10.0003	10.0003	3040.32	0	312.501	312.501	
40	2.54652	4.93528	4.05239	77.7983	3.27323	499.99	499.99	19.9997	19.9997	9.18004	9.18004	3049.5	0	312.501	312.501	
41	2.33768	5.05873	4.05234	77.7983	3.00479	499.99	499.99	20.4997	20.4997	8.42707	8.42707	3057.92	0	312.501	312.501	
42	2.14596	5.18216	4.0523	77.7983	2.75837	499.99	499.99	20.9997	20.9997	7.73586	7.73586	3065.66	0	312.501	312.501	
43	1.96997	5.3056	4.05226	77.7983	2.53215	499.99	499.99	21.4997	21.4997	7.10135	7.10135	3072.76	0	312.501	312.501	
44	1.80842	5.42904	4.05222	77.7983	2.32449	499.99	499.99	21.9997	21.9997	6.51889	6.51889	3079.28	0	312.501	312.501	
45	1.66011	5.55247	4.05219	77.7983	2.13386	499.99	499.99	22.4997	22.4997	5.98421	5.98421	3085.26	0	312.501	312.501	
46	1.52396	5.6759	4.05216	77.7983	1.95887	499.99	499.99	22.9996	22.9996	5.49339	5.49339	3090.76	0	312.501	312.501	
47	1.39898	5.79933	4.05213	77.7983	1.79822	499.99	499.99	23.4996	23.4996	5.04282	5.04282	3095.8	0	312.501	312.501	
48	1.28425	5.92275	4.05211	77.7983	1.65075	499.99	499.99	23.9996	23.9996	4.62921	4.62921	3100.43	0	312.501	312.501	
49	1.17893	6.04618	4.05208	77.7983	1.51537	499.99	499.99	24.4996	24.4996	4.24953	4.24953	3104.68	0	312.501	312.501	
